,countyFIPS,County Name,State_x,population,Male,Female,Under 18 years,18 years and over,65 years and over
388,29165,Platte County,MO,104418,"54,932","55,602","25,424","85,110","17,410"
389,29183,St. Charles County,MO,402022,"204,000","209,803","92,297","321,506","70,518"
390,29187,St. Francois County,MO,67215,"35,436","31,533","14,296","52,673","11,628"
391,29189,St. Louis County,MO,994205,"474,702","515,712","215,206","775,208","191,309"
392,30013,Cascade County,MT,81366,"42,671","42,193","18,843","66,021","16,541"
393,30029,Flathead County,MT,103806,"56,327","55,487","24,271","87,543","23,431"
394,30031,Gallatin County,MT,114434,"65,517","59,340","23,218","101,639","17,107"
395,30049,Lewis and Clark County,MT,69432,"36,872","36,960","15,346","58,486","15,229"
396,30063,Missoula County,MT,119600,"60,625","60,416","21,492","99,549","20,890"
397,30111,Yellowstone County,MT,161300,"84,169","85,683","38,379","131,473","31,392"
398,31055,Douglas County,NE,571327,"291,828","294,499","146,425","439,902","84,111"
399,31109,Lancaster County,NE,319090,"163,838","160,918","72,033","252,723","50,265"
400,31153,Sarpy County,NE,187196,"99,789","96,764","51,166","145,387","25,404"
401,32003,Clark County,NV,2266715,"1,164,576","1,158,409","515,202","1,807,783","366,089"
402,32031,Washoe County,NV,471519,"253,412","243,333","102,334","394,411","88,403"
403,33005,Cheshire County,NH,76085,"38,486","38,864","13,452","63,898","17,151"
404,33009,Grafton County,NH,89886,"45,250","45,876","14,202","76,924","21,534"
405,33011,Hillsborough County,NH,417025,"214,914","211,680","83,025","343,569","73,312"
406,33013,Merrimack County,NH,151391,"77,802","78,218","28,648","127,372","31,446"
407,33015,Rockingham County,NH,309769,"158,660","160,764","58,305","261,119","65,038"
408,33017,Strafford County,NH,130633,"65,088","67,187","23,353","108,922","22,750"
409,34001,Atlantic County,NJ,263670,"136,915","138,723","56,929","218,709","54,828"
410,34003,Bergen County,NJ,932202,"467,647","485,350","196,712","756,285","174,761"
411,34005,Burlington County,NJ,445349,"230,343","235,760","94,775","371,328","85,947"
412,34007,Camden County,NJ,506471,"254,314","270,593","118,165","406,742","87,300"
413,34009,Cape May County,NJ,92039,"46,465","49,169","15,901","79,733","28,568"
414,34011,Cumberland County,NJ,149527,"76,993","74,363","35,848","115,508","24,395"
415,34013,Essex County,NJ,798975,"413,603","435,874","197,900","651,577","122,556"
416,34015,Gloucester County,NJ,291636,"150,910","155,691","64,357","242,244","52,448"
417,34017,Hudson County,NJ,672391,"351,645","351,721","138,951","564,415","89,831"
418,34019,Hunterdon County,NJ,124371,"63,998","65,779","24,278","105,499","27,122"
419,34021,Mercer County,NJ,367430,"187,066","193,622","81,480","299,208","63,124"
420,34023,Middlesex County,NJ,825062,"429,006","432,412","182,565","678,853","140,364"
421,34025,Monmouth County,NJ,618795,"315,619","328,479","131,491","512,607","124,889"
422,34027,Morris County,NJ,491845,"254,000","257,151","103,853","407,298","94,221"
423,34029,Ocean County,NJ,607186,"319,610","336,125","161,578","494,157","149,854"
424,34031,Passaic County,NJ,501826,"252,045","261,891","120,001","393,935","81,811"
425,34033,Salem County,NJ,62385,"32,747","32,370","13,024","52,093","12,560"
426,34035,Somerset County,NJ,328934,"171,390","175,485","71,922","274,953","60,019"
427,34037,Sussex County,NJ,140488,"73,264","72,820","27,913","118,171","27,936"
428,34039,Union County,NJ,556341,"281,970","287,845","131,748","438,067","87,302"
429,34041,Warren County,NJ,105267,"55,154","55,772","20,786","90,140","21,890"
430,35001,Bernalillo County,NM,679121,"332,239","340,269","136,077","536,431","121,731"
431,35013,Doña Ana County,NM,218195,"109,790","113,547","51,646","171,691","37,193"
432,35025,Lea County,NM,71070,"37,613","34,839","20,928","51,524","8,187"
433,35031,McKinley County,NM,71367,"34,259","35,571","19,034","50,796","9,063"
434,35035,Otero County,NM,67490,"35,074","33,749","14,670","54,153","12,036"
435,35043,Sandoval County,NM,146748,"76,041","77,460","32,641","120,860","30,379"
436,35045,San Juan County,NM,123958,"59,478","60,940","30,461","89,957","19,972"
437,35049,Santa Fe County,NM,150358,"75,853","79,811","25,122","130,542","43,041"
438,35061,Valencia County,NM,76688,"39,791","38,289","17,347","60,733","15,424"
439,36001,Albany County,NY,305506,"154,592","161,219","55,775","260,036","58,247"
440,36005,Bronx County,NY,1418207,"653,279","726,667","334,517","1,045,429","199,243"
441,36007,Broome County,NY,190488,"96,779","100,338","36,984","160,133","40,868"
442,36009,Cattaraugus County,NY,76117,"38,178","38,261","15,870","60,569","16,104"
443,36011,Cayuga County,NY,76576,"38,167","36,831","14,077","60,921","16,589"
444,36013,Chautauqua County,NY,126903,"62,441","63,586","25,039","100,988","27,955"
445,36015,Chemung County,NY,83456,"40,807","40,619","16,620","64,806","17,088"
446,36019,Clinton County,NY,80485,"40,222","38,531","13,516","65,237","15,710"
447,36027,Dutchess County,NY,294218,"148,488","149,057","53,773","243,772","57,818"
448,36029,Erie County,NY,918702,"463,775","486,537","188,516","761,796","184,883"
449,36045,Jefferson County,NY,109834,"62,092","54,545","27,293","89,344","17,927"
450,36047,Kings County,NY,2559903,"1,235,007","1,355,509","572,700","2,017,816","405,138"
451,36053,Madison County,NY,70941,"33,247","33,850","12,192","54,905","13,866"
452,36055,Monroe County,NY,741770,"365,293","386,742","151,268","600,767","142,223"
453,36059,Nassau County,NY,1356924,"681,928","701,798","293,123","1,090,603","261,056"
454,36061,New York County,NY,1628706,"763,019","833,254","223,386","1,372,887","293,385"
455,36063,Niagara County,NY,209281,"104,051","106,829","40,948","169,932","43,147"
456,36065,Oneida County,NY,228671,"114,951","113,895","48,394","180,452","45,843"
457,36067,Onondaga County,NY,460528,"227,667","240,582","97,113","371,136","88,586"
458,36069,Ontario County,NY,109777,"55,450","57,257","21,065","91,642","25,394"
459,36071,Orange County,NY,384940,"202,731","203,210","102,876","303,065","59,817"
460,36075,Oswego County,NY,117124,"60,089","58,198","23,775","94,512","21,670"
461,36079,Putnam County,NY,98320,"49,427","48,618","18,728","79,317","18,963"
462,36081,Queens County,NY,2253858,"1,114,721","1,163,308","442,156","1,835,873","409,723"
463,36083,Rensselaer County,NY,158714,"79,905","79,948","30,105","129,748","29,968"
464,36085,Richmond County,NY,476143,"241,330","249,803","104,669","386,464","85,349"
465,36087,Rockland County,NY,325789,"169,864","169,158","99,171","239,851","53,896"
466,36089,St. Lawrence County,NY,107740,"54,914","52,819","20,743","86,990","20,671"
467,36091,Saratoga County,NY,229863,"118,545","120,252","44,869","193,928","48,487"
468,36093,Schenectady County,NY,155299,"78,002","82,091","33,726","126,367","28,387"
469,36101,Steuben County,NY,95379,"46,368","46,231","19,573","73,026","19,294"
470,36103,Suffolk County,NY,1476601,"757,801","767,664","309,450","1,216,015","277,501"
471,36105,Sullivan County,NY,75432,"41,770","37,888","16,356","63,302","15,354"
472,36109,Tompkins County,NY,102180,"51,827","52,950","13,617","91,160","16,953"
473,36111,Ulster County,NY,177573,"91,214","91,105","30,392","151,927","39,792"
474,36113,Warren County,NY,63944,"32,982","32,617","11,067","54,532","16,229"
475,36117,Wayne County,NY,89918,"45,772","45,353","18,637","72,488","19,377"
476,36119,Westchester County,NY,967506,"483,295","507,132","206,897","783,530","182,142"
477,37001,Alamance County,NC,169509,"84,865","91,488","37,937","138,416","30,510"
478,37019,Brunswick County,NC,142820,"74,586","78,478","21,285","131,779","53,517"
479,37021,Buncombe County,NC,261191,"130,049","143,540","47,763","225,826","59,796"
480,37023,Burke County,NC,90485,"44,267","43,614","15,633","72,248","18,889"
481,37025,Cabarrus County,NC,216453,"115,345","120,452","58,363","177,434","32,456"
482,37027,Caldwell County,NC,82178,"39,185","41,307","15,905","64,587","17,538"
483,37031,Carteret County,NC,69473,"33,061","36,319","11,490","57,890","19,067"
484,37035,Catawba County,NC,159551,"82,284","81,178","34,894","128,568","31,824"
485,37037,Chatham County,NC,74470,"38,103","41,761","14,955","64,909","20,468"
486,37045,Cleveland County,NC,97947,"48,414","52,256","22,371","78,299","19,898"
487,37049,Craven County,NC,102139,"50,554","50,320","21,814","79,060","20,832"
488,37051,Cumberland County,NC,335509,"166,876","169,823","84,051","252,648","44,570"
